Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2022-11-25 00:00:00-05:00,139.9334452524164,141.80819842611808,139.9334452524164,140.86135864257812,190000,0.0,0.0
2022-11-28 00:00:00-05:00,139.7724946584857,140.72881215774296,135.85257823987044,136.1745147705078,463200,0.0,0.0
2022-11-29 00:00:00-05:00,135.44543193714745,138.64574053415805,135.11403223872063,138.21966552734375,834600,0.0,0.0
2022-11-30 00:00:00-05:00,137.72730653325513,138.99606824000477,134.0725047819655,138.74041748046875,908300,0.0,0.0
2022-12-01 00:00:00-05:00,140.1038835775363,143.086423109213,139.65886772456975,141.0980682373047,539900,0.0,0.0
2022-12-02 00:00:00-05:00,138.43744518499938,139.6967293293133,136.20290281354949,138.3522186279297,783700,0.0,0.0
2022-12-05 00:00:00-05:00,136.49642108663906,136.80887993615863,133.59909377898387,133.93995666503906,498600,0.0,0.0
2022-12-06 00:00:00-05:00,134.08198511754438,134.9909576856306,132.13149743444953,134.31869506835938,928600,0.0,0.0
2022-12-07 00:00:00-05:00,134.4512595716145,137.31071998248794,133.25824655402712,135.1708526611328,617600,0.0,0.0
2022-12-08 00:00:00-05:00,135.39808696187077,138.3332960247109,134.6406122571738,137.63262939453125,559900,0.0,0.0
2022-12-09 00:00:00-05:00,137.0266514541954,138.02083609339837,136.0703484961281,136.16502380371094,403000,0.0,0.0
2022-12-12 00:00:00-05:00,136.43012925247427,139.8766251913327,135.11402264403287,139.61151123046875,683000,0.0,0.0
2022-12-13 00:00:00-05:00,144.88542628242112,146.84537710209958,138.70256371317475,139.63046264648438,1007900,0.0,0.0
2022-12-14 00:00:00-05:00,138.64573583686214,141.56200396227936,136.70472593295503,138.2386016845703,679600,0.0,0.0
2022-12-15 00:00:00-05:00,135.75790448380886,137.45274148541233,135.2560805111069,136.40174865722656,628900,0.0,0.0
2022-12-16 00:00:00-05:00,134.2240201619381,135.66322086748832,132.5007790420817,133.9683837890625,1350900,0.0,0.0
2022-12-19 00:00:00-05:00,133.47600632807706,134.64061522423134,131.6107307863026,132.1504364013672,625100,0.0,0.0
2022-12-20 00:00:00-05:00,129.83066224399607,131.53497668807995,128.2494415909824,129.75491333007812,787800,0.0,0.0
2022-12-21 00:00:00-05:00,131.08049692501208,134.21453417688718,131.08049692501208,133.7032470703125,754300,0.0,0.0
2022-12-22 00:00:00-05:00,131.80958323626737,132.28300316615497,129.0069308943756,132.16937255859375,798700,0.0,0.0
2022-12-23 00:00:00-05:00,131.94214502428827,134.1482692636668,131.80958801701706,134.09146118164062,299500,0.0,0.0
2022-12-27 00:00:00-05:00,133.7789855237611,134.92466800907536,133.28663924279238,134.15773010253906,404200,0.0,0.0
2022-12-28 00:00:00-05:00,134.30922415519848,134.91520101656536,130.98580739020915,130.9952850341797,371700,0.0,0.0
2022-12-29 00:00:00-05:00,131.66752684162245,136.07034013095662,131.26985589991443,135.49276733398438,505200,0.0,0.0
2022-12-30 00:00:00-05:00,133.80739967866361,135.07616146934706,132.53862344035218,133.93995666503906,456400,0.0,0.0
2023-01-03 00:00:00-05:00,136.45854611555157,137.30123295200616,134.583807373885,136.0892791748047,513000,0.0,0.0
2023-01-04 00:00:00-05:00,137.96402611586888,141.54307920951777,137.95454847190163,140.3500518798828,570300,0.0,0.0
2023-01-05 00:00:00-05:00,138.7025805375998,142.0259833467673,137.50955303100366,141.79873657226562,619000,0.0,0.0
2023-01-06 00:00:00-05:00,143.2852669969361,144.62031456679966,142.4425801626674,143.44622802734375,864800,0.0,0.0
2023-01-09 00:00:00-05:00,143.91963984689528,146.8643120032467,143.44621997897784,144.24156188964844,545200,0.0,0.0
2023-01-10 00:00:00-05:00,143.4935802855676,146.79804207248756,143.3610232862016,146.4761199951172,479200,0.0,0.0
2023-01-11 00:00:00-05:00,143.02960972084418,147.31879261446505,142.39522882473196,146.0594940185547,809600,0.0,0.0
2023-01-12 00:00:00-05:00,147.68805873091048,147.68805873091048,144.5919031806553,145.9458770751953,475800,0.0,0.0
2023-01-13 00:00:00-05:00,143.84390018872986,147.06316416626126,143.84390018872986,146.08790588378906,344500,0.0,0.0
2023-01-17 00:00:00-05:00,144.2889188328317,150.63274270393285,142.91600399058004,146.6654815673828,1202900,0.0,0.0
2023-01-18 00:00:00-05:00,146.50452195645823,147.6596676978188,142.32896931183953,142.36683654785156,712700,0.0,0.0
2023-01-19 00:00:00-05:00,141.13593248031555,141.45785453166417,137.1592083731544,137.75572204589844,583900,0.0,0.0
2023-01-20 00:00:00-05:00,138.6078756591777,142.91599957390136,136.8278122387119,142.80238342285156,517200,0.0,0.0
2023-01-23 00:00:00-05:00,143.4272872727618,145.2925628139474,142.66034935486257,144.03326416015625,399900,0.0,0.0
2023-01-24 00:00:00-05:00,143.6166400018467,145.60500916807516,143.20950586219053,144.61082458496094,373200,0.0,0.0
2023-01-25 00:00:00-05:00,143.16218028459537,145.39672287500665,142.73610524800776,143.94805908203125,443400,0.0,0.0
2023-01-26 00:00:00-05:00,143.7302834348604,145.24521843474523,141.50520414275533,142.09225463867188,674700,0.0,0.0
2023-01-27 00:00:00-05:00,141.10753526377883,146.551864153349,140.39740540861752,145.90802001953125,621400,0.0,0.0
2023-01-30 00:00:00-05:00,144.0048622738035,148.1709660785596,142.98227355211688,145.37777709960938,1220300,0.0,0.0
2023-01-31 00:00:00-05:00,147.70699436859564,148.7674502177448,143.91963553863164,147.31878662109375,1656600,0.0,0.0
